,text,no_occurences
0,portland,9081
1,fire,8269
2,the,6583
3,of,6328
4,at,5522
5,or,4990
6,rp,4557
7,pdx,4405
8,block,3733
9,medical,3432
10,med,3427
11,to,3414
12,in,3248
13,and,3114
14,smoke,2989
15,st,2249
16,ave,2236
17,a,2119
18,california,1910
19,th,1743
20,se,1701
21,for,1670
22,i,1656
23,is,1425
24,on,1383
25,ne,1374
26,we,1309
27,fires,1188
28,this,1145
29,from,1092
30,ca,1031
31,all,992
32,s,981
33,you,967
34,my,963
35,paradise,961
36,it,956
37,sw,944
38,are,916
39,with,827
40,be,781
41,that,730
42,n,712
43,our,711
44,today,703
45,f,698
46,by,679
47,campfire,635
48,tonight,629
49,up,599
50,mph,595
51,out,585
52,nov,559
53,so,551
54,rd,541
55,have,529
56,hi,527
57,forecast,524
58,lo,524
59,see,514
60,malibu,510
61,blvd,507
62,was,496
63,traffic,494
64,nw,484
65,will,480
66,san,463
67,am,445
68,can,434
69,humidity,428
70,down,415
71,wind,411
72,day,404
73,nd,396
74,but,371
75,t,367
76,your,364
77,air,363
78,as,357
79,here,356
80,what,335
81,camp,333
82,los,331
83,alarm,330
84,pm,330
85,new,329
86,some,317
87,us,316
88,twitter,313
89,pic,308
90,com,306
91,these,304
92,angeles,303
93,francisco,301
94,victims,297
95,me,295
96,who,295
97,help,291
98,those,289
99,just,289
